	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
123	1881	The pillow-lace makers were full of wrath about this new invention, said it would deprive them of bread, and drove Mr. Heathcote and his ***machines*** out of the county.	quick rate, and for little money, net with a beautiful even mesh, as perfect as any hand-worked lace made in France. [SEP] The pillow-lace makers were full of wrath about this new invention, said it would deprive them of bread, and drove Mr. Heathcote and his ***machines*** out of the county. [SEP] But though Mr. Heathcote was gone, the pillow lace makers failed to get back their trade.	002413420_01_198_2	machines	0.0	0.0
124	1897	Gradually before my expectant eyes I saw the ***machine*** developing an animated picture of Chiua.	And now a film appeared to pass across the mirror. [SEP] Gradually before my expectant eyes I saw the ***machine*** developing an animated picture of Chiua. [SEP] There were some Chinese coolies carrying loads.	001504850_01_290_2	machine	1.0	0.0
125	1893	It should, however, be noted that many ***engines*** at the present day do not consume 4 lbs.	If therefore ventilating machines lose 40 and utilise 60 per cent, of the engine power, the depths that are necessary to render furnace ventilation as economical as such ventilating machines in the consumption of fuel are as stated above. [SEP] It should, however, be noted that many ***engines*** at the present day do not consume 4 lbs. [SEP] of coal per horse-power per hour, and hence the economy of fan ventilation is more than that shown by the table.	001758763_01_362_8	engines	0.0	0.0
126	1837	The men seemed directed by a low sordid interest alone : they seemed mere ***machines*** , and all their thoughts were employed in the care of their horses.	In general, we were better served by the women than the men on those occa sions. [SEP] The men seemed directed by a low sordid interest alone : they seemed mere ***machines*** , and all their thoughts were employed in the care of their horses. [SEP] If we gently desired them to make more speed, they took not the least notice ; kind language was what they had by no means been used to.	001453856_03_115_4	machines	1.0	0.0
127	1897	"As the mind can do great things within the sphere of imagination and theory, but cannot provide the body Avith its necessaries, so the brain-workers have become men of imagination and theory only, while the bodily toilers, deprived of necessary mental culture, have sunk to the level of beasts of burden, or soulless ***machines*** . """	"But, just as an engine cannot work well without an engineer, so it cannot be good for physical Avork to be done Avithout the mind to guide it. [SEP] As the mind can do great things within the sphere of imagination and theory, but cannot provide the body Avith its necessaries, so the brain-workers have become men of imagination and theory only, while the bodily toilers, deprived of necessary mental culture, have sunk to the level of beasts of burden, or soulless ***machines*** . "" [SEP] If the engineer leaves his engine, it may certainly- run for a time, but sooner or later it Avill stop work ; the water in the boiler Avill be exhausted, the bearings wear out or perhaps take fire, or something will happen, and the machine either come to a standstill or be destroyed."	003472534_01_303_8	machines	1.0	0.0
128	1818	The cheapness of provisions had al ways, to a certain extent, counterbalanced the high price of manual labour ; and this is now, in many important branches, nearly superseded by the introduction of ***machinery*** .	"438 TRAVELS IN ofthe obstacles which impeded the progress of manufactures have been removed or lessened. [SEP] The cheapness of provisions had al ways, to a certain extent, counterbalanced the high price of manual labour ; and this is now, in many important branches, nearly superseded by the introduction of ***machinery*** . [SEP] A great A merican capital has been acquired during the last 20 years; and the injurious violation of the neutral commerce of the United States, by forcing industry and capital into other channels, have broken inveterate habits, and given a general impulse, to which must be ascribed the great increase of manufactures during the last two years."""	002452730_01_458_1	machinery	0.0	0.0
129	1887	The soldiers, by During this scene, I was on duty at the gate of the court, fac ing a Swiss, an absolute ***machine*** , with whom it was impossible to exchange a word.	"was their only an swer, mingled with cries of "" Vive la Nation ! "" [SEP] The soldiers, by During this scene, I was on duty at the gate of the court, fac ing a Swiss, an absolute ***machine*** , with whom it was impossible to exchange a word. [SEP] But an aide-de camp of General Whittinghoff pass ing near me, I asked him what his general intended doing."	002525328_01_570_18	machine	1.0	0.0
130	1892	He did not write by the yard, reeling off so many folios in so many hours, as though he had been a ***machine*** , and remaining untouched by what he had written.	He was no journeyman builder. [SEP] He did not write by the yard, reeling off so many folios in so many hours, as though he had been a ***machine*** , and remaining untouched by what he had written. [SEP] His lit- tie book, thin as it was, cut deep into his own life; it was part and parcel of himself, a record of his own deep est needs and longings.	001699247_01_214_16	machine	1.0	0.0
131	1875	One can leave nothing to that animal Baldassare — he has no head, no system; — he dances well, but like a ***machine*** .	"As chamberlain to his late Highness the Duke of Lucca, it is expected of me to organize everything. [SEP] One can leave nothing to that animal Baldassare — he has no head, no system; — he dances well, but like a ***machine*** . [SEP] The ball was magnificent — a great suc cess,"" he continued, speaking rapidly, for"	001057641_01_128_9	machine	1.0	0.0
132	1860	A life-boat and the necessary ***apparatus*** for saving life are maintained at Cromer, and rockets aud lines are likewise kept at Sidestrand, a village 2 miles south-eastward from Cromer.	At the village there is a pile jetty, but no harbour, the colliers having to discharge on the beach. [SEP] A life-boat and the necessary ***apparatus*** for saving life are maintained at Cromer, and rockets aud lines are likewise kept at Sidestrand, a village 2 miles south-eastward from Cromer. [SEP] hasborough CAT ANS THE WOULD.	003221628_01_17_29	apparatus	0.0	0.0
